invoice_no,total_keys,matched_keys,accuracy
0,28,16,57.14285714285714
1,22,13,59.09090909090909
2,25,14,56.00000000000001
3,28,22,78.57142857142857
4,16,11,68.75
5,22,12,54.54545454545454
6,19,11,57.89473684210527
7,22,13,59.09090909090909
8,22,13,59.09090909090909
9,25,14,56.00000000000001
10,25,14,56.00000000000001
11,19,11,57.89473684210527
12,16,13,81.25
13,25,21,84.0
14,19,11,57.89473684210527
15,25,22,88.0
16,28,18,64.28571428571429
17,25,15,60.0
18,16,9,56.25
19,19,10,52.63157894736842
20,19,17,89.47368421052632
21,19,8,42.10526315789473
22,19,14,73.68421052631578
23,28,17,60.71428571428571
24,19,8,42.10526315789473
25,28,16,57.14285714285714
26,28,18,64.28571428571429
27,22,12,54.54545454545454
28,22,13,59.09090909090909
29,28,17,60.71428571428571
30,16,8,50.0
31,19,11,57.89473684210527
32,16,10,62.5
33,22,12,54.54545454545454
34,19,11,57.89473684210527
35,16,8,50.0
36,22,13,59.09090909090909
37,25,14,56.00000000000001
38,28,16,57.14285714285714
39,19,8,42.10526315789473
40,22,12,54.54545454545454
41,28,18,64.28571428571429
42,22,12,54.54545454545454
43,22,18,81.81818181818183
44,16,10,62.5
45,28,15,53.57142857142857
46,16,9,56.25
47,16,9,56.25
48,19,10,52.63157894736842
49,25,14,56.00000000000001
50,22,18,81.81818181818183
51,16,8,50.0
52,16,8,50.0
53,25,13,52.0
54,22,12,54.54545454545454
55,22,11,50.0
56,28,17,60.71428571428571
57,28,16,57.14285714285714
58,25,13,52.0
59,28,24,85.71428571428571
60,25,14,56.00000000000001
61,22,18,81.81818181818183
62,16,9,56.25
63,25,15,60.0
64,19,10,52.63157894736842
65,28,17,60.71428571428571
66,19,9,47.368421052631575
67,25,15,60.0
68,19,10,52.63157894736842
69,25,15,60.0
70,19,9,47.368421052631575
71,19,13,68.42105263157895
72,22,21,95.45454545454545
73,28,16,57.14285714285714
74,22,14,63.63636363636363
75,16,12,75.0
76,28,15,53.57142857142857
77,28,24,85.71428571428571
78,22,11,50.0
79,16,10,62.5
80,19,10,52.63157894736842
81,25,14,56.00000000000001
82,19,10,52.63157894736842
83,16,9,56.25
84,28,15,53.57142857142857
85,22,20,90.9090909090909
86,22,13,59.09090909090909
87,22,12,54.54545454545454
88,19,10,52.63157894736842
89,22,10,45.45454545454545
90,16,7,43.75
91,22,13,59.09090909090909
92,22,13,59.09090909090909
93,16,9,56.25
94,22,17,77.27272727272727
95,22,13,59.09090909090909
96,25,14,56.00000000000001
97,25,15,60.0
98,25,14,56.00000000000001
99,28,23,82.14285714285714
